epoch,train_loss,train_dice,val_loss,val_dice,femur_dice,tibia_dice,patella_dice,pixel_acc,lr
1,0.6130,0.5881,0.6168,0.6198,0.4929,0.7659,0.6005,0.8779,0.000989
2,0.2583,0.9210,0.2494,0.8528,0.8767,0.9480,0.7336,0.9607,0.000957
3,0.1411,0.9393,0.1486,0.8927,0.8990,0.9539,0.8252,0.9737,0.000905
4,0.0857,0.9589,0.2092,0.7997,0.7973,0.9212,0.6807,0.9501,0.000835
5,0.0602,0.9685,0.0483,0.9771,0.9696,0.9678,0.9938,0.9906,0.000750
6,0.0498,0.9713,0.0945,0.9283,0.9221,0.9316,0.9312,0.9784,0.000655
7,0.0454,0.9722,0.0948,0.9299,0.9025,0.9261,0.9612,0.9765,0.000553
8,0.0335,0.9806,0.0799,0.9413,0.9183,0.9364,0.9694,0.9801,0.000448
9,0.0269,0.9858,0.0307,0.9810,0.9730,0.9743,0.9956,0.9924,0.000346
10,0.0233,0.9878,0.0349,0.9722,0.9770,0.9873,0.9524,0.9933,0.000251
11,0.0200,0.9902,0.0240,0.9865,0.9821,0.9817,0.9956,0.9946,0.000166
12,0.0205,0.9893,0.0173,0.9920,0.9902,0.9902,0.9956,0.9967,0.000096
13,0.0192,0.9902,0.0176,0.9904,0.9876,0.9877,0.9958,0.9961,0.000044
14,0.0175,0.9919,0.0140,0.9944,0.9937,0.9938,0.9958,0.9976,0.000012
15,0.0162,0.9929,0.0140,0.9942,0.9933,0.9934,0.9958,0.9975,0.000001
