epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.9392,0.2085,1.6207,0.2107,0.000100
2,0.5989,0.4604,1.4100,0.2821,0.000100
3,0.4645,0.5341,1.1809,0.3051,0.000100
4,0.4128,0.5651,1.1287,0.3281,0.000100
5,0.3843,0.5867,1.0867,0.3717,0.000100
6,0.3785,0.6011,1.0747,0.3535,0.000100
7,0.3470,0.6121,1.0681,0.3692,0.000100
8,0.3424,0.6279,1.3902,0.3862,0.000100
9,0.3159,0.6383,1.2628,0.4189,0.000100
10,0.2993,0.6585,1.1230,0.4419,0.000100
11,0.2938,0.6502,1.0258,0.4891,0.000100
12,0.3052,0.6542,1.1311,0.4552,0.000100
13,0.2970,0.6481,1.0607,0.4540,0.000100
14,0.2879,0.6597,1.0270,0.4915,0.000100
15,0.2686,0.6848,1.0491,0.5169,0.000050
